Village,Household ID,Day,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM
Mataika,70,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Rest,Rest,Rest,Cooking,Dinner,Driving (gym),Driving (gym),Driving (gym),Home,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Showering,,,,,,,,,,
Ma'ufanga,65,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (church),Home,Cooking,Breakfast,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Cooking,Cooking,"Family time (chatting, games etc)",Dinner,Tidy up,Showering (kids),"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,Family devotion,Driving (church),,,,,Getting dressed,Work,,,,,,,,,,,,,,,,,,,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",,,,,,,,
Halaleva,31,Tuesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Cooking,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Ironing,Listen to music/radio,Listen to music/radio,Work,,,,,,,,,,,,,,,,,Cooking,,,,,,,,,,,,,,,,,,,
Popua,78,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Cooking,Cooking,Cooking,Cooking,Dinner,Homework (kids),Homework (kids),"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Listen to music/radio,Breakfast,,,,,,,,,,,,,,,,,Driving (home),Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,Listen to music/radio,,,,,,,,,,,,,,,
Popua,79,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Breakfast,Showering,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Cooking,Laundry,Laundry,Laundry,Laundry,Dinner,Dinner,Laundry,Laundry,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,Charging mobile devices,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaololoa,98,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Feeding animals,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Driving (visiting relatives),Home,Mobile device (movies),Mobile device (movies),Mobile device (movies),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
